Province,District,Municipality
Lumbini,Rupandehi,Suddodhan Rural Municipality
Lumbini,Arghakhanchi,Sandhikharka Municipality
Lumbini,Arghakhanchi,Sitganga Municipality
Lumbini,Arghakhanchi,Bhumikasthan Municipality
Lumbini,Arghakhanchi,Chhatradev Rural Municipality
Lumbini,Arghakhanchi,Panini Rural Municipality
Lumbini,Arghakhanchi,Malarani Rural Municipality
Lumbini,Gulmi,Resunga Municipality
Lumbini,Gulmi,Musikot Municipality
Lumbini,Gulmi,Rurukshetra Rural Municipality
Lumbini,Gulmi,Chhatrakot Rural Municipality
Lumbini,Gulmi,Gulmidarbar Rural Municipality
Lumbini,Gulmi,Chandrakot Rural Municipality
Lumbini,Gulmi,Satyawati Rural Municipality
Lumbini,Gulmi,Dhurkot Rural Municipality
Lumbini,Gulmi,Kaligandaki Rural Municipality
Lumbini,Gulmi,Isma Rural Municipality
Lumbini,Gulmi,Malika Rural Municipality
Lumbini,Gulmi,Madane Rural Municipality
Lumbini,Palpa,Tansen Municipality
Lumbini,Palpa,Rampur Municipality
Lumbini,Palpa,Rainadevi Chhahara Rural Municipality
Lumbini,Palpa,Ripdikot Rural Municipality
Lumbini,Palpa,Bagnaskali Rural Municipality
Lumbini,Palpa,Rambha Rural Municipality
Lumbini,Palpa,Purbakhola Rural Municipality
Lumbini,Palpa,Nisdi Rural Municipality
